Gian Marco Ferrari,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/42704.png&w=64&h=64&output=webp&q=60
Christian Kabasele,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/23041.png&w=64&h=64&output=webp&q=60
Norbert Gyömbér,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/16064.png&w=64&h=64&output=webp&q=60
Federico Fazio,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/16806.png&w=64&h=64&output=webp&q=60
Dean Huijsen,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Patric,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/43519.png&w=64&h=64&output=webp&q=60
Ilario Monterisi,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Pablo Marí,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/350178.png&w=64&h=64&output=webp&q=60
Amir Rrahmani,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/66663.png&w=64&h=64&output=webp&q=60
Malick Thiaw,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/198892.png&w=64&h=64&output=webp&q=60
Lucas Martínez,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/64003.png&w=64&h=64&output=webp&q=60
Triantafyllos Pasalidis,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
José Luis Palomino,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/16704.png&w=64&h=64&output=webp&q=60
Daniele Rugani,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/15270.png&w=64&h=64&output=webp&q=60
Nehuén Pérez,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/171060.png&w=64&h=64&output=webp&q=60
Przemysław Szymiński,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/90710.png&w=64&h=64&output=webp&q=60
Saba Sazonov,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/457366.png&w=64&h=64&output=webp&q=60
Luca Ranieri,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/248134.png&w=64&h=64&output=webp&q=60
Kevin Miranda,https://images.sportsbase.io/?url=https://www.footballcritic.com/images/no_player4.png&w=64&h=64&output=webp&q=60
Caleb Okoli,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/116138.png&w=64&h=64&output=webp&q=60
Perr Schuurs,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/107898.png&w=64&h=64&output=webp&q=60
Lorenzo Pirola,https://images.sportsbase.io/?url=https://www.sportsbase.io/images/people/289791.png&w=64&h=64&output=webp&q=60
