,EST. BASE SALARY,BIO,,PLAYER,"GROSS P/W
(EUR)","GROSS P/Y
(EUR)","ADJ. GROSS
(EUR)","POS.
 D
F
K
M",AGE,COUNTRY,CLUB
Francesco Rossi,"€ 3,654","€ 190,000","€ 190,000",K,32,Italy,Atalanta
Festy Ebosele,"€ 4,423","€ 230,000","€ 230,000",M,21,Ireland,Udinese
Vivaldo Semedo,"€ 3,654","€ 190,000","€ 190,000",F,18,Portugal,Udinese
Emmanuel Ekong,"€ 3,654","€ 190,000","€ 190,000",F,21,Sweden,Empoli
Stiven Shpendi,"€ 3,654","€ 190,000","€ 190,000",F,20,Albania,Empoli
Chukwubuikem Ikwuemesi,"€ 3,654","€ 190,000","€ 190,000",F,22,Nigeria,Salernitana
Grigoris Kastanos,"€ 3,654","€ 190,000","€ 190,000",M,26,Cyprus,Salernitana
Saná Fernandes,"€ 5,000","€ 260,000","€ 260,000",F,18,Portugal,Lazio
Marco Carnesecchi,"€ 3,654","€ 190,000","€ 190,000",K,23,Italy,Atalanta
Giuseppe Caso,"€ 3,846","€ 200,000","€ 200,000",F,25,Italy,Frosinone
Andres Sfait,"€ 3,654","€ 190,000","€ 190,000",F,19,Romania,Salernitana
Arijon Ibrahimovic,"€ 3,654","€ 190,000","€ 190,000",F,18,Germany,Frosinone
Medon Berisha,"€ 4,231","€ 220,000","€ 220,000",M,20,Albania,Lecce
Gianluca Gaetano,"€ 3,654","€ 190,000","€ 190,000",F,23,Italy,Napoli
İsak Vural,"€ 3,654","€ 190,000","€ 190,000",F,17,Turkey,Frosinone
Luca Belardinelli,"€ 3,654","€ 190,000","€ 190,000",M,22,Italy,Empoli
Patrick Dorgu,"€ 4,231","€ 220,000","€ 220,000",D,19,Denmark,Lecce
Alessandro Vogliacco,"€ 3,654","€ 190,000","€ 190,000",D,25,Italy,Genoa
Marley Aké,"€ 3,654","€ 190,000","€ 190,000",F,22,France,Udinese
Giorgi Kvernadze,"€ 3,654","€ 190,000","€ 190,000",F,20,Georgia,Frosinone
Antonio Tikvic,"€ 3,654","€ 190,000","€ 190,000",D,19,Croatia,Udinese
Marcin Listkowski,"€ 4,231","€ 220,000","€ 220,000",F,25,Poland,Lecce
Franco Carboni,"€ 4,615","€ 240,000","€ 240,000",D,20,Argentina,Monza
João Ferreira,"€ 4,423","€ 230,000","€ 230,000",D,22,Portugal,Udinese
Gianluca Gaetano,"€ 3,654","€ 190,000","€ 190,000",F,23,Italy,Cagliari
Luca Gemello,"€ 3,269","€ 170,000","€ 170,000",K,23,Italy,Torino
Riccardo Pagano,"€ 3,269","€ 170,000","€ 170,000",M,19,Italy,Roma
Jacopo Desogus,"€ 3,269","€ 170,000","€ 170,000",F,20,Italy,Cagliari
Rareș Burnete,"€ 3,269","€ 170,000","€ 170,000",F,20,Romania,Lecce
Matjaz Kamensek-Pahic,"€ 3,269","€ 170,000","€ 170,000",D,19,Slovenia,Frosinone
Giovanni Bonfanti,"€ 3,269","€ 170,000","€ 170,000",D,20,Italy,Atalanta
Mateus Lusuardi,"€ 2,885","€ 150,000","€ 150,000",D,20,Brazil,Frosinone
Samuele Vignato,"€ 3,269","€ 170,000","€ 170,000",F,19,Italy,Monza
Joselito,"€ 3,269","€ 170,000","€ 170,000",M,19,Spain,Hellas Verona
Pietro Passador,"€ 3,269","€ 170,000","€ 170,000",K,20,Italy,Torino
Christian Dalle Mura,"€ 3,269","€ 170,000","€ 170,000",D,21,Italy,Fiorentina
Tommaso Corazza,"€ 3,269","€ 170,000","€ 170,000",D,19,Italy,Bologna
Niccolò Pierozzi,"€ 3,269","€ 170,000","€ 170,000",D,21,Italy,Fiorentina
Lorenzo Amatucci,"€ 3,269","€ 170,000","€ 170,000",M,19,Italy,Fiorentina
Marco Ballarini,"€ 3,269","€ 170,000","€ 170,000",M,22,Italy,Udinese
Luca Lipani,"€ 3,269","€ 170,000","€ 170,000",M,18,Italy,Sassuolo
Federico Ravaglia,"€ 3,269","€ 170,000","€ 170,000",K,24,Italy,Bologna
Filippo Missori,"€ 3,269","€ 170,000","€ 170,000",D,19,Italy,Sassuolo
Niccolò Pierozzi,"€ 3,269","€ 170,000","€ 170,000",D,22,Italy,Salernitana
Federico Brancolini,"€ 3,269","€ 170,000","€ 170,000",K,22,Italy,Lecce
Gabriele Guarino,"€ 3,269","€ 170,000","€ 170,000",D,19,Italy,Empoli
Filippo Terracciano,"€ 3,269","€ 170,000","€ 170,000",M,20,Italy,Hellas Verona
Hubert Idasiak,"€ 3,269","€ 170,000","€ 170,000",K,21,Poland,Napoli
Nicola Bagnolini,"€ 3,269","€ 170,000","€ 170,000",K,19,Italy,Bologna
Alessandro Sorrentino,"€ 3,269","€ 170,000","€ 170,000",K,21,Italy,Monza
Daniel Macej,"€ 2,308","€ 120,000","€ 120,000",D,19,Czech Republic,Frosinone
Trivante Stewart,"€ 2,308","€ 120,000","€ 120,000",F,23,Jamaica,Salernitana
Pasquale Allocca,"€ 2,500","€ 130,000","€ 130,000",K,18,Italy,Salernitana
Lovro Stubljar,"€ 2,308","€ 120,000","€ 120,000",K,19,Slovenia,Empoli
Diego González,"€ 2,308","€ 120,000","€ 120,000",F,21,Paraguay,Lazio
Charlys,"€ 2,308","€ 120,000","€ 120,000",M,19,Brazil,Hellas Verona
Emil Konradsen Ceide,"€ 2,308","€ 120,000","€ 120,000",F,22,Norway,Sassuolo
Alexis Saelemaekers,€ 0,€ 0,€ 0,F,24,Belgium,AC Milan
Léandre Kuavita,"€ 2,308","€ 120,000","€ 120,000",M,19,Belgium,Genoa
James Abankwah,"€ 2,308","€ 120,000","€ 120,000",D,20,Ireland,Udinese
Jasper Samooja,"€ 2,308","€ 120,000","€ 120,000",K,20,Finland,Lecce
Eldor Shomurodov,€ 0,€ 0,€ 0,F,28,Uzbekistan,Roma
Jeppe Corfitzen,"€ 2,308","€ 120,000","€ 120,000",F,19,Denmark,Lecce
Jacopo Fazzini,"€ 2,885","€ 150,000","€ 150,000",M,20,Italy,Empoli
Djed Spence,€ 0,€ 0,€ 0,D,23,England,Genoa
Paul Pogba,€ 808,"€ 42,000","€ 42,000",M,30,France,Juventus
Bruno Amione,"€ 2,308","€ 120,000","€ 120,000",D,21,Argentina,Hellas Verona
Ange Caumenan N'Guessan,"€ 2,692","€ 140,000","€ 140,000",D,20,France,Torino
Christos Mandas,"€ 2,500","€ 130,000","€ 130,000",K,22,Greece,Lazio
Alexandru Borbei,"€ 2,885","€ 150,000","€ 150,000",K,20,Romania,Lecce
Axel Guessand,"€ 2,885","€ 150,000","€ 150,000",D,18,France,Udinese
Zinedin Smajlovic,"€ 2,308","€ 120,000","€ 120,000",D,19,Bosnia-Herzegovina,Lecce
Simone Calvani,"€ 2,500","€ 130,000","€ 130,000",K,18,Italy,Genoa
Saba Goglichidze,"€ 2,885","€ 150,000","€ 150,000",D,19,Georgia,Empoli
Sekou Diawara,"€ 2,500","€ 130,000","€ 130,000",F,19,Belgium,Udinese
Riccardo Ciervo,€ 0,€ 0,€ 0,F,21,Italy,Sassuolo
Joaquín Correa,€ 0,€ 0,€ 0,F,29,Argentina,Inter Milan
Dimitrije Kamenović,€ 0,€ 0,€ 0,D,23,Serbia,Lazio
Matías Soulé,€ 0,€ 0,€ 0,F,20,Argentina,Juventus
Matías Viña,€ 0,€ 0,€ 0,D,25,Uruguay,Roma
Carlos Alcaraz,€ 0,€ 0,€ 0,M,21,Argentina,Juventus
Mohamed Fares,€ 0,€ 0,€ 0,D,27,Algeria,Lazio
Kaio Jorge,€ 0,€ 0,€ 0,F,21,Brazil,Juventus
Facundo González,€ 0,€ 0,€ 0,D,20,Uruguay,Juventus
